date,open,high,low,close,volume
2005-10-03 00:00:00+05:30,1000.0,1000.0,1000.0,1000.0,0
2005-10-04 00:00:00+05:30,1011.4,1011.4,1011.4,1011.4,0
2005-10-05 00:00:00+05:30,1002.06,1002.06,1002.06,1002.06,0
2005-10-06 00:00:00+05:30,987.74,987.74,987.74,987.74,0
2005-10-07 00:00:00+05:30,982.98,982.98,982.98,982.98,0
2005-10-10 00:00:00+05:30,975.74,975.74,975.74,975.74,0
2005-10-11 00:00:00+05:30,974.5,974.5,974.5,974.5,0
2005-10-13 00:00:00+05:30,970.73,970.73,970.73,970.73,0
2005-10-14 00:00:00+05:30,946.65,946.65,946.65,946.65,0
2005-10-17 00:00:00+05:30,935.11,935.11,935.11,935.11,0
2005-10-18 00:00:00+05:30,923.32,923.32,923.32,923.32,0
2005-10-19 00:00:00+05:30,892.91,892.91,892.91,892.91,0
2005-10-20 00:00:00+05:30,868.28,868.28,868.28,868.28,0
2005-10-21 00:00:00+05:30,882.46,882.46,882.46,882.46,0
2005-10-24 00:00:00+05:30,870.82,870.82,870.82,870.82,0
2005-10-25 00:00:00+05:30,873.57,873.57,873.57,873.57,0
2005-10-26 00:00:00+05:30,865.06,865.06,865.06,865.06,0
2005-10-27 00:00:00+05:30,837.26,837.26,837.26,837.26,0
2005-10-28 00:00:00+05:30,821.45,821.45,821.45,821.45,0
2005-10-31 00:00:00+05:30,841.13,841.13,841.13,841.13,0
2005-11-01 00:00:00+05:30,847.88,847.88,847.88,847.88,0
2005-11-02 00:00:00+05:30,852.33,852.33,852.33,852.33,0
2005-11-07 00:00:00+05:30,876.26,876.26,876.26,876.26,0
2005-11-08 00:00:00+05:30,885.58,885.58,885.58,885.58,0
2005-11-09 00:00:00+05:30,885.05,885.05,885.05,885.05,0
2005-11-10 00:00:00+05:30,888.66,888.66,888.66,888.66,0
2005-11-11 00:00:00+05:30,909.98,909.98,909.98,909.98,0
2005-11-14 00:00:00+05:30,916.74,916.74,916.74,916.74,0
2005-11-16 00:00:00+05:30,928.7,928.7,928.7,928.7,0
2005-11-17 00:00:00+05:30,927.63,927.63,927.63,927.63,0
2005-11-18 00:00:00+05:30,929.51,929.51,929.51,929.51,0
2005-11-21 00:00:00+05:30,919.5,919.5,919.5,919.5,0
2005-11-22 00:00:00+05:30,908.81,908.81,908.81,908.81,0
2005-11-23 00:00:00+05:30,909.82,909.82,909.82,909.82,0
2005-11-24 00:00:00+05:30,920.05,920.05,920.05,920.05,0
2005-11-25 00:00:00+05:30,936.27,936.27,936.27,936.27,0
2005-11-26 00:00:00+05:30,949.13,949.13,949.13,949.13,0
2005-11-28 00:00:00+05:30,942.95,942.95,942.95,942.95,0
